"code" ,"name"                                ,"flag"                                                                                                                                 ,"status"
"AFG"  ,"Afghanistan"                         ,"https://upload.wikimedia.org/wikipedia/commons/7/7a/Flag_of_Afghanistan_%282004%E2%80%932021%29.svg"                                  ,"active"
"ALB"  ,"Albania"                             ,"https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg"                                                              ,"active"
"ALG"  ,"Algeria"                             ,"https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg"                                                              ,"active"
"ASA"  ,"American Samoa"                      ,"https://upload.wikimedia.org/wikipedia/commons/8/87/Flag_of_American_Samoa.svg"                                                       ,"active"
"AND"  ,"Andorra"                             ,"https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Andorra.svg"                                                              ,"active"
"ANG"  ,"Angola"                              ,"https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg"                                                               ,"active"
"ANT"  ,"Antigua and Barbuda"                 ,"https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Antigua_and_Barbuda.svg"                                                  ,"active"
"ARG"  ,"Argentina"                           ,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg"                                                            ,"active"
"ARM"  ,"Armenia"                             ,"https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg"                                                              ,"active"
"ARU"  ,"Aruba"                               ,"https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Aruba.svg"                                                                ,"active"
"AUS"  ,"Australia"                           ,"https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Flag_of_Australia.svg/320px-Flag_of_Australia.svg.png"                           ,"active"
"AUT"  ,"Austria"                             ,"https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg"                                                              ,"active"
"AZE"  ,"Azerbaijan"                          ,"https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg"                                                           ,"active"
"BAH"  ,"Bahamas"                             ,"https://upload.wikimedia.org/wikipedia/commons/9/93/Flag_of_the_Bahamas.svg"                                                          ,"active"
"BRN"  ,"Bahrain"                             ,"https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg"                                                              ,"active"
"BAN"  ,"Bangladesh"                          ,"https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg"                                                           ,"active"
"BAR"  ,"Barbados"                            ,"https://upload.wikimedia.org/wikipedia/commons/e/ef/Flag_of_Barbados.svg"                                                             ,"active"
"BLR"  ,"Belarus"                             ,"https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Belarus.svg"                                                              ,"active"
"BEL"  ,"Belgium"                             ,"https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg"                                                  ,"active"
"BIZ"  ,"Belize"                              ,"https://upload.wikimedia.org/wikipedia/commons/e/e7/Flag_of_Belize.svg"                                                               ,"active"
"BEN"  ,"Benin"                               ,"https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Benin.svg"                                                                ,"active"
"BER"  ,"Bermuda"                             ,"https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bermuda.svg"                                                              ,"active"
"BHU"  ,"Bhutan"                              ,"https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg"                                                               ,"active"
"BOL"  ,"Bolivia"                             ,"https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Bolivia.svg"                                                              ,"active"
"BIH"  ,"Bosnia and Herzegovina"              ,"https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bosnia_and_Herzegovina.svg"                                               ,"active"
"BOT"  ,"Botswana"                            ,"https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Botswana.svg"                                                             ,"active"
"BRA"  ,"Brazil"                              ,"https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/320px-Flag_of_Brazil.svg.png"                                 ,"active"
"IVB"  ,"British Virgin Islands"              ,"https://upload.wikimedia.org/wikipedia/commons/4/42/Flag_of_the_British_Virgin_Islands.svg"                                           ,"active"
"BRU"  ,"Brunei"                              ,"https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Brunei.svg"                                                               ,"active"
"BUL"  ,"Bulgaria"                            ,"https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg"                                                             ,"active"
"BUR"  ,"Burkina Faso"                        ,"https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Burkina_Faso.svg"                                                         ,"active"
"BDI"  ,"Burundi"                             ,"https://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Burundi.svg"                                                              ,"active"
"CAM"  ,"Cambodia"                            ,"https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg"                                                             ,"active"
"CMR"  ,"Cameroon"                            ,"https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg"                                                             ,"active"
"CAN"  ,"Canada"                              ,"https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Canada_%28Pantone%29.svg"                                                 ,"active"
"CPV"  ,"Cape Verde"                          ,"https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Cape_Verde.svg"                                                           ,"active"
"CAY"  ,"Cayman Islands"                      ,"https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_the_Cayman_Islands.svg"                                                   ,"active"
"CAF"  ,"Central African Republic"            ,"https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Central_African_Republic.svg"                                         ,"active"
"CHA"  ,"Chad"                                ,"https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg"                                                                 ,"active"
"CHI"  ,"Chile"                               ,"https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg"                                                                ,"active"
"CHN"  ,"China"                               ,"https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg"                                     ,"active"
"TPE"  ,"Chinese Taipei"                      ,"https://upload.wikimedia.org/wikipedia/commons/1/14/Flag_of_Chinese_Taipei_for_Olympic_games.svg"                                     ,"active"
"COL"  ,"Colombia"                            ,"https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg"                                                             ,"active"
"COM"  ,"Comoros"                             ,"https://upload.wikimedia.org/wikipedia/commons/9/94/Flag_of_the_Comoros.svg"                                                          ,"active"
"COK"  ,"Cook Islands"                        ,"https://upload.wikimedia.org/wikipedia/commons/3/35/Flag_of_the_Cook_Islands.svg"                                                     ,"active"
"CRC"  ,"Costa Rica"                          ,"https://upload.wikimedia.org/wikipedia/commons/f/f2/Flag_of_Costa_Rica.svg"                                                           ,"active"
"CRO"  ,"Croatia"                             ,"https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Croatia.svg"                                                              ,"active"
"CUB"  ,"Cuba"                                ,"https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg"                                                                 ,"active"
"CYP"  ,"Cyprus"                              ,"https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Cyprus.svg"                                                               ,"active"
"CZE"  ,"Czech Republic"                      ,"https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg"                                                   ,"active"
"COD"  ,"Democratic Republic of the Congo"    ,"https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg"                                 ,"active"
"DEN"  ,"Denmark"                             ,"https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg"                                                              ,"active"
"DJI"  ,"Djibouti"                            ,"https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_Djibouti.svg"                                                             ,"active"
"DMA"  ,"Dominica"                            ,"https://upload.wikimedia.org/wikipedia/commons/c/c4/Flag_of_Dominica.svg"                                                             ,"active"
"DOM"  ,"Dominican Republic"                  ,"https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_the_Dominican_Republic.svg"                                               ,"active"
"ECU"  ,"Ecuador"                             ,"https://upload.wikimedia.org/wikipedia/commons/e/e8/Flag_of_Ecuador.svg"                                                              ,"active"
"EGY"  ,"Egypt"                               ,"https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg"                                                                ,"active"
"ESA"  ,"El Salvador"                         ,"https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_El_Salvador.svg"                                                          ,"active"
"GEQ"  ,"Equatorial Guinea"                   ,"https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Equatorial_Guinea.svg"                                                    ,"active"
"ERI"  ,"Eritrea"                             ,"https://upload.wikimedia.org/wikipedia/commons/2/29/Flag_of_Eritrea.svg"                                                              ,"active"
"EST"  ,"Estonia"                             ,"https://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Estonia.svg"                                                              ,"active"
"SWZ"  ,"Eswatini"                            ,"https://upload.wikimedia.org/wikipedia/commons/f/fb/Flag_of_Eswatini.svg"                                                             ,"active"
"ETH"  ,"Ethiopia"                            ,"https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg"                                                             ,"active"
"FSM"  ,"Federated States of Micronesia"      ,"https://upload.wikimedia.org/wikipedia/commons/e/e4/Flag_of_the_Federated_States_of_Micronesia.svg"                                   ,"active"
"FIJ"  ,"Fiji"                                ,"https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Fiji.svg"                                                                 ,"active"
"FIN"  ,"Finland"                             ,"https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg"                                                              ,"active"
"FRA"  ,"France"                              ,"https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/320px-Flag_of_France.svg.png"                                 ,"active"
"FRO"  ,"The Faroe Islands"                   ,"https://upload.wikimedia.org/wikipedia/commons/3/3c/Flag_of_the_Faroe_Islands.svg"                                                    ,"active"
