code                                         ,year   ,host                          ,season   ,edition       ,motto                                                                                                                                                             ,num_athletes ,start_date                           ,end_date                             ,page_name
"1896_athens_olympics"                       ,"1896" ,"Athens"                      ,"summer" ,"olympics"    ,""                                                                                                                                                                ,"241"        ,"1896-04-06"                         ,"1896-04-15"                         ,"1896_Summer_Olympics"
"1900_paris_olympics"                        ,"1900" ,"Paris"                       ,"summer" ,"olympics"    ,""                                                                                                                                                                ,"1226"       ,"1900-06-14"                         ,"1900-11-28"                         ,"1900_Summer_Olympics"
"1904_st-louis_olympics"                     ,"1904" ,"St. Louis"                   ,"summer" ,"olympics"    ,""                                                                                                                                                                ,"648"        ,"1904-08-01"                         ,"1904-12-23"                         ,"1904_Summer_Olympics"
"1908_london_olympics"                       ,"1908" ,"London"                      ,"summer" ,"olympics"    ,""                                                                                                                                                                ,"2008"       ,"1908-05-27"                         ,"1908-12-01"                         ,"1908_Summer_Olympics"
"1912_stockholm_olympics"                    ,"1912" ,"Stockholm"                   ,"summer" ,"olympics"    ,""                                                                                                                                                                ,"2406"       ,"1912-08-06"                         ,"1912-08-22"                         ,"1912_Summer_Olympics"
"1916_berlin_olympics"                       ,"1916" ,"Berlin"                      ,"summer" ,"olympics"    ,""                                                                                                                                                                ,""           ,""                                   ,""                                   ,"1916_Summer_Olympics"
"1920_antwerp_olympics"                      ,"1920" ,"Antwerp"                     ,"summer" ,"olympics"    ,""                                                                                                                                                                ,"2626"       ,"1920-09-14"                         ,"1920-10-12"                         ,"1920_Summer_Olympics"
"1924_paris_olympics"                        ,"1924" ,"Paris"                       ,"summer" ,"olympics"    ,""                                                                                                                                                                ,"3089"       ,"1924-08-05"                         ,"1924-08-27"                         ,"1924_Summer_Olympics"
"1928_amsterdam_olympics"                    ,"1928" ,"Amsterdam"                   ,"summer" ,"olympics"    ,""                                                                                                                                                                ,"2883"       ,"1928-08-28"                         ,"1928-09-12"                         ,"1928_Summer_Olympics"
"1932_los-angeles_olympics"                  ,"1932" ,"Los Angeles"                 ,"summer" ,"olympics"    ,""                                                                                                                                                                ,"1332"       ,"1932-08-30"                         ,"1932-09-14"                         ,"1932_Summer_Olympics"
"1936_berlin_olympics"                       ,"1936" ,"Berlin"                      ,"summer" ,"olympics"    ,"I Call the Youth of the World!(German: Ich rufe die Jugend der Welt!)"                                                                                           ,"3963"       ,"1936-09-01"                         ,"1936-09-16"                         ,"1936_Summer_Olympics"
"1940_tokyo_olympics"                        ,"1940" ,"Tokyo"                       ,"summer" ,"olympics"    ,""                                                                                                                                                                ,""           ,""                                   ,""                                   ,"1940_Summer_Olympics"
"1944_london_olympics"                       ,"1944" ,"London"                      ,"summer" ,"olympics"    ,""                                                                                                                                                                ,""           ,""                                   ,""                                   ,"1944_Summer_Olympics"
"1948_london_olympics"                       ,"1948" ,"London"                      ,"summer" ,"olympics"    ,""                                                                                                                                                                ,"4104"       ,"1948-08-29"                         ,"1948-09-14"                         ,"1948_Summer_Olympics"
"1952_helsinki_olympics"                     ,"1952" ,"Helsinki"                    ,"summer" ,"olympics"    ,""                                                                                                                                                                ,"4932"       ,"1952-08-19"                         ,"1952-09-03"                         ,"1952_Summer_Olympics"
"1956_melbourne_olympics"                    ,"1956" ,"Melbourne"                   ,"summer" ,"olympics"    ,""                                                                                                                                                                ,"3314"       ,"1956-12-22"                         ,"1957-01-08"                         ,"1956_Summer_Olympics"
"1960_rome_olympics"                         ,"1960" ,"Rome"                        ,"summer" ,"olympics"    ,""                                                                                                                                                                ,"5347"       ,"1960-09-25"                         ,"1960-10-11"                         ,"1960_Summer_Olympics"
"1964_tokyo_olympics"                        ,"1964" ,"Tokyo"                       ,"summer" ,"olympics"    ,""                                                                                                                                                                ,"5137"       ,"1964-11-10"                         ,"1964-11-24"                         ,"1964_Summer_Olympics"
"1968_mexico-city_olympics"                  ,"1968" ,"Mexico City"                 ,"summer" ,"olympics"    ,""                                                                                                                                                                ,"5516"       ,"1968-11-12"                         ,"1968-11-27"                         ,"1968_Summer_Olympics"
"1972_munich_olympics"                       ,"1972" ,"Munich"                      ,"summer" ,"olympics"    ,"The Cheerful Games(German: Heitere Spiele)"                                                                                                                      ,"7134"       ,"1972-09-26"                         ,"1972-10-11"                         ,"1972_Summer_Olympics"
"1976_montreal_olympics"                     ,"1976" ,"Montreal"                    ,"summer" ,"olympics"    ,""                                                                                                                                                                ,"6073"       ,"1976-08-17"                         ,"1976-09-01"                         ,"1976_Summer_Olympics"
"1980_moscow_olympics"                       ,"1980" ,"Moscow"                      ,"summer" ,"olympics"    ,""                                                                                                                                                                ,"5256"       ,"1980-08-19"                         ,"1980-09-03"                         ,"1980_Summer_Olympics"
"1984_los-angeles_olympics"                  ,"1984" ,"Los Angeles"                 ,"summer" ,"olympics"    ,"Play a Part in History"                                                                                                                                          ,"6800"       ,"1984-08-28"                         ,"1984-09-12"                         ,"1984_Summer_Olympics"
"1988_seoul_olympics"                        ,"1988" ,"Seoul"                       ,"summer" ,"olympics"    ,"Harmony and Progress(Korean: 화합과 전진)"                                                                                                                       ,"8453"       ,"1988-10-17"                         ,"1988-11-02"                         ,"1988_Summer_Olympics"
"1992_barcelona_olympics"                    ,"1992" ,"Barcelona"                   ,"summer" ,"olympics"    ,"Friends for Life(Spanish: Amigos para siempre)(Catalan: Amics per sempre)"                                                                                       ,"9386"       ,"1992-08-25"                         ,"1992-09-09"                         ,"1992_Summer_Olympics"
"1996_atlanta_olympics"                      ,"1996" ,"Atlanta"                     ,"summer" ,"olympics"    ,"The Celebration of the Century"                                                                                                                                  ,"10318"      ,"1996-08-19"                         ,"1996-09-04"                         ,"1996_Summer_Olympics"
"2000_sydney_olympics"                       ,"2000" ,"Sydney"                      ,"summer" ,"olympics"    ,"The Games of the New Millennium"                                                                                                                                 ,"10647"      ,"2000-10-15"                         ,"2000-11-01"                         ,"2000_Summer_Olympics"
"2004_athens_olympics"                       ,"2004" ,"Athens"                      ,"summer" ,"olympics"    ,"Welcome Home(Greek: Καλώς ήρθατε σπίτι, romanized: Kalós írthate spíti)"                                                                                         ,"10557"      ,"2004-09-13"                         ,"2004-09-29"                         ,"2004_Summer_Olympics"
"2008_beijing_olympics"                      ,"2008" ,"Beijing"                     ,"summer" ,"olympics"    ,"One World, One Dream(同一个世界 同一个梦想; Tóng yīge shìjìe tóng yīge mèngxiǎng)"                                                                               ,"10899"      ,"2008-09-08"                         ,"2008-09-24"                         ,"2008_Summer_Olympics"
"2012_london_olympics"                       ,"2012" ,"London"                      ,"summer" ,"olympics"    ,"Inspire a Generation"                                                                                                                                            ,"10518"      ,"2012-08-27"                         ,"2012-09-12"                         ,"2012_Summer_Olympics"
"2016_rio-de-janeiro_olympics"               ,"2016" ,"Rio de Janeiro"              ,"summer" ,"olympics"    ,"A New World(Portuguese: Um mundo novo)"                                                                                                                          ,"11180"      ,"2016-09-05"                         ,"2016-09-21"                         ,"2016_Summer_Olympics"
"2020_tokyo_olympics"                        ,"2020" ,"Tokyo"                       ,"summer" ,"olympics"    ,"United by Emotion"                                                                                                                                               ,"11319"      ,"2021-07-23"                         ,"2021-08-08"                         ,"2020_Summer_Olympics"
"2024_paris_olympics"                        ,"2024" ,"Paris"                       ,"summer" ,"olympics"    ,"Games Wide Open (French: Ouvrons Grand les Jeux)"                                                                                                                ,"10714"      ,"2024-08-26"                         ,"2024-09-11"                         ,"2024_Summer_Olympics"
"2028_los-angeles_olympics"                  ,"2028" ,"Los Angeles"                 ,"summer" ,"olympics"    ,""                                                                                                                                                                ,""           ,"2028-07-14"                         ,"2028-08-30"                         ,"2028_Summer_Olympics"
"2032_brisbane_olympics"                     ,"2032" ,"Brisbane"                    ,"summer" ,"olympics"    ,""                                                                                                                                                                ,""           ,"2032-07-23"                         ,"2032-09-08"                         ,"2032_Summer_Olympics"
"2036_tbd_olympics"                          ,"2036" ,"TBD"                         ,"summer" ,"olympics"    ,""                                                                                                                                                                ,""           ,""                                   ,""                                   ,"2036_Summer_Olympics"
"1924_chamonix_olympics"                     ,"1924" ,"Chamonix"                    ,"winter" ,"olympics"    ,""                                                                                                                                                                ,"258"        ,"1924-02-25"                         ,"1924-03-05"                         ,"1924_Winter_Olympics"
"1928_st-moritz_olympics"                    ,"1928" ,"St. Moritz"                  ,"winter" ,"olympics"    ,""                                                                                                                                                                ,"464"        ,"1928-03-11"                         ,"1928-03-19"                         ,"1928_Winter_Olympics"
"1932_lake-placid_olympics"                  ,"1932" ,"Lake Placid"                 ,"winter" ,"olympics"    ,""                                                                                                                                                                ,"252"        ,"1932-03-04"                         ,"1932-03-13"                         ,"1932_Winter_Olympics"
"1936_garmisch=partenkirchen_olympics"       ,"1936" ,"Garmisch-Partenkirchen"      ,"winter" ,"olympics"    ,""                                                                                                                                                                ,"646"        ,"1936-03-06"                         ,"1936-03-16"                         ,"1936_Winter_Olympics"
"1940_sapporo_olympics"                      ,"1940" ,"Sapporo"                     ,"winter" ,"olympics"    ,""                                                                                                                                                                ,""           ,""                                   ,""                                   ,"1940_Winter_Olympics"
"1944_cortina-d-ampezzo_olympics"            ,"1944" ,"Cortina d'Ampezzo"           ,"winter" ,"olympics"    ,""                                                                                                                                                                ,""           ,""                                   ,""                                   ,"1944_Winter_Olympics"
"1948_st-moritz_olympics"                    ,"1948" ,"St. Moritz"                  ,"winter" ,"olympics"    ,""                                                                                                                                                                ,"669"        ,"1948-03-01"                         ,"1948-03-08"                         ,"1948_Winter_Olympics"
"1952_oslo_olympics"                         ,"1952" ,"Oslo"                        ,"winter" ,"olympics"    ,""                                                                                                                                                                ,"694"        ,"1952-03-14"                         ,"1952-03-25"                         ,"1952_Winter_Olympics"
"1956_cortina-d-ampezzo_olympics"            ,"1956" ,"Cortina d'Ampezzo"           ,"winter" ,"olympics"    ,""                                                                                                                                                                ,"821"        ,"1956-02-26"                         ,"1956-03-05"                         ,"1956_Winter_Olympics"
"1960_squaw-valley_olympics"                 ,"1960" ,"Squaw Valley"                ,"winter" ,"olympics"    ,""                                                                                                                                                                ,"665"        ,"1960-03-18"                         ,"1960-03-28"                         ,"1960_Winter_Olympics"
"1964_innsbruck_olympics"                    ,"1964" ,"Innsbruck"                   ,"winter" ,"olympics"    ,""                                                                                                                                                                ,"1091"       ,"1964-02-29"                         ,"1964-03-09"                         ,"1964_Winter_Olympics"
"1968_grenoble_olympics"                     ,"1968" ,"Grenoble"                    ,"winter" ,"olympics"    ,""                                                                                                                                                                ,"1158"       ,"1968-03-06"                         ,"1968-03-18"                         ,"1968_Winter_Olympics"
"1972_sapporo_olympics"                      ,"1972" ,"Sapporo"                     ,"winter" ,"olympics"    ,""                                                                                                                                                                ,"1006"       ,"1972-03-03"                         ,"1972-03-13"                         ,"1972_Winter_Olympics"
"1976_innsbruck_olympics"                    ,"1976" ,"Innsbruck"                   ,"winter" ,"olympics"    ,""                                                                                                                                                                ,"1123"       ,"1976-03-04"                         ,"1976-03-15"                         ,"1976_Winter_Olympics"
"1980_lake-placid_olympics"                  ,"1980" ,"Lake Placid"                 ,"winter" ,"olympics"    ,""                                                                                                                                                                ,"1072"       ,"1980-03-13"                         ,"1980-03-24"                         ,"1980_Winter_Olympics"
"1984_sarajevo_olympics"                     ,"1984" ,"Sarajevo"                    ,"winter" ,"olympics"    ,""                                                                                                                                                                ,"1272"       ,"1984-03-08"                         ,"1984-03-19"                         ,"1984_Winter_Olympics"
"1988_calgary_olympics"                      ,"1988" ,"Calgary"                     ,"winter" ,"olympics"    ,"Come Together in Calgary(French: Rassemblez-vous à Calgary)"                                                                                                     ,"1423"       ,"1988-03-13"                         ,"1988-03-28"                         ,"1988_Winter_Olympics"
"1992_albertville_olympics"                  ,"1992" ,"Albertville"                 ,"winter" ,"olympics"    ,"Savoie en Fête(English: Party in Savoie)"                                                                                                                        ,"1801"       ,"1992-03-08"                         ,"1992-03-23"                         ,"1992_Winter_Olympics"
