games                                      ,country ,sport ,gold ,silver ,bronze ,men ,women
1896_athens_olympics                       ,AUS     ,ATH   ,   2 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,DEN     ,ATH   ,   0 ,     0 ,     0 ,  3 ,    0
1896_athens_olympics                       ,FRA     ,ATH   ,   0 ,     1 ,     1 ,  5 ,    0
1896_athens_olympics                       ,GBR     ,ATH   ,   0 ,     1 ,     1 ,  5 ,    0
1896_athens_olympics                       ,GER     ,ATH   ,   0 ,     1 ,     0 ,  5 ,    0
1896_athens_olympics                       ,GRE     ,ATH   ,   1 ,     3 ,     6 , 30 ,    0
1896_athens_olympics                       ,HUN     ,ATH   ,   0 ,     1 ,     2 ,  3 ,    0
1896_athens_olympics                       ,SWE     ,ATH   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,USA     ,ATH   ,   9 ,     6 ,     2 , 10 ,    0
1896_athens_olympics                       ,AUS     ,TEN   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,FRA     ,TEN   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,GBR     ,TEN   ,   1 ,     0 ,     0 ,  2 ,    0
1896_athens_olympics                       ,GER     ,TEN   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,GRE     ,TEN   ,   0 ,     2 ,     1 ,  7 ,    0
1896_athens_olympics                       ,HUN     ,TEN   ,   0 ,     0 ,     1 ,  1 ,    0
1896_athens_olympics                       ,MIX     ,TEN   ,   1 ,     0 ,     1 ,  0 ,    0
1896_athens_olympics                       ,AUT     ,CTR   ,   1 ,     0 ,     2 ,  1 ,    0
1896_athens_olympics                       ,FRA     ,CTR   ,   4 ,     1 ,     1 ,  2 ,    0
1896_athens_olympics                       ,GBR     ,CTR   ,   0 ,     1 ,     0 ,  2 ,    0
1896_athens_olympics                       ,GER     ,CTR   ,   0 ,     0 ,     0 ,  4 ,    0
1896_athens_olympics                       ,GRE     ,CTR   ,   0 ,     3 ,     0 ,  7 ,    0
1896_athens_olympics                       ,AUT     ,FEN   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,DEN     ,FEN   ,   0 ,     0 ,     1 ,  1 ,    0
1896_athens_olympics                       ,FRA     ,FEN   ,   1 ,     2 ,     0 ,  4 ,    0
1896_athens_olympics                       ,GRE     ,FEN   ,   2 ,     1 ,     2 ,  9 ,    0
1896_athens_olympics                       ,AUT     ,SWM   ,   1 ,     1 ,     0 ,  2 ,    0
1896_athens_olympics                       ,GRE     ,SWM   ,   1 ,     3 ,     2 ,  9 ,    0
1896_athens_olympics                       ,HUN     ,SWM   ,   2 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,USA     ,SWM   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,BUL     ,GAR   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,DEN     ,GAR   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,FRA     ,GAR   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,GBR     ,GAR   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,GER     ,GAR   ,   5 ,     3 ,     2 , 11 ,    0
1896_athens_olympics                       ,GRE     ,GAR   ,   2 ,     2 ,     2 ,  9 ,    0
1896_athens_olympics                       ,HUN     ,GAR   ,   0 ,     0 ,     0 ,  2 ,    0
1896_athens_olympics                       ,SUI     ,GAR   ,   1 ,     2 ,     0 ,  1 ,    0
1896_athens_olympics                       ,SWE     ,GAR   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,DEN     ,SHO   ,   0 ,     1 ,     2 ,  3 ,    0
1896_athens_olympics                       ,FRA     ,SHO   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,GBR     ,SHO   ,   0 ,     0 ,     0 ,  2 ,    0
1896_athens_olympics                       ,GRE     ,SHO   ,   3 ,     3 ,     3 , 27 ,    0
1896_athens_olympics                       ,ITA     ,SHO   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,SUI     ,SHO   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,USA     ,SHO   ,   2 ,     1 ,     0 ,  3 ,    0
1896_athens_olympics                       ,DEN     ,WLF   ,   1 ,     1 ,     0 ,  1 ,    0
1896_athens_olympics                       ,GBR     ,WLF   ,   1 ,     1 ,     0 ,  1 ,    0
1896_athens_olympics                       ,GER     ,WLF   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,GRE     ,WLF   ,   0 ,     0 ,     2 ,  3 ,    0
1896_athens_olympics                       ,HUN     ,WLF   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,GBR     ,CRD   ,   0 ,     0 ,     1 ,  1 ,    0
1896_athens_olympics                       ,GER     ,CRD   ,   0 ,     1 ,     0 ,  1 ,    0
1896_athens_olympics                       ,GRE     ,CRD   ,   1 ,     0 ,     0 ,  5 ,    0
1896_athens_olympics                       ,GBR     ,WRE   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,GER     ,WRE   ,   1 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,GRE     ,WRE   ,   0 ,     1 ,     1 ,  2 ,    0
1896_athens_olympics                       ,HUN     ,WRE   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,ARG     ,FEN   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,AUT     ,FEN   ,   0 ,     0 ,     2 ,  7 ,    0
1900_paris_olympics                        ,BEL     ,FEN   ,   0 ,     0 ,     0 ,  5 ,    0
1900_paris_olympics                        ,CUB     ,FEN   ,   1 ,     1 ,     0 ,  1 ,    0
1900_paris_olympics                        ,DEN     ,FEN   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,ESP     ,FEN   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,FRA     ,FEN   ,   5 ,     5 ,     5 ,210 ,    0
1900_paris_olympics                        ,GBR     ,FEN   ,   0 ,     0 ,     0 ,  3 ,    0
1900_paris_olympics                        ,GER     ,FEN   ,   0 ,     0 ,     0 ,  1 ,    0
