"code"  ,"name"                        ,"category"   ,"parent" ,"status"       ,"season"
"AQU"   ,"Aquatics"                    ,"sport"      ,""       ,"active"       ,"summer"
"SWA"   ,"Artistic Swimming"           ,"discipline" ,"AQU"    ,"active"       ,"summer"
"DIV"   ,"Diving"                      ,"discipline" ,"AQU"    ,"active"       ,"summer"
"OWS"   ,"Marathon Swimming"           ,"discipline" ,"AQU"    ,"active"       ,"summer"
"SWM"   ,"Swimming"                    ,"discipline" ,"AQU"    ,"active"       ,"summer"
"WPO"   ,"Water Polo"                  ,"discipline" ,"AQU"    ,"active"       ,"summer"
"ARC"   ,"Archery"                     ,"sport"      ,""       ,"active"       ,"summer"
"ARC"   ,"Archery"                     ,"discipline" ,"ARC"    ,"active"       ,"summer"
"ATH"   ,"Athletics"                   ,"sport"      ,""       ,"active"       ,"summer"
"ATH"   ,"Athletics"                   ,"discipline" ,"ATH"    ,"active"       ,"summer"
"BDM"   ,"Badminton"                   ,"sport"      ,""       ,"active"       ,"summer"
"BDM"   ,"Badminton"                   ,"discipline" ,"BDM"    ,"active"       ,"summer"
"BSB"   ,"Baseball/Softball"           ,"sport"      ,""       ,"active"       ,"summer"
"BS5"   ,"Baseball5"                   ,"discipline" ,"BSB"    ,"active"       ,"summer"
"BSK"   ,"Basketball Sport"            ,"sport"      ,""       ,"active"       ,"summer"
"BK3"   ,"3x3 Basketball"              ,"discipline" ,"BSK"    ,"active"       ,"summer"
"BKB"   ,"Basketball"                  ,"discipline" ,"BSK"    ,"active"       ,"summer"
"BOX"   ,"Boxing"                      ,"sport"      ,""       ,"active"       ,"summer"
"BOX"   ,"Boxing"                      ,"discipline" ,"BOX"    ,"active"       ,"summer"
"CAS"   ,"Canoe Sport"                 ,"sport"      ,""       ,"active"       ,"summer"
"CSL"   ,"Canoe Slalom"                ,"discipline" ,"CAS"    ,"active"       ,"summer"
"CSP"   ,"Canoe Sprint"                ,"discipline" ,"CAS"    ,"active"       ,"summer"
"CYC"   ,"Cycling Sport"               ,"sport"      ,""       ,"active"       ,"summer"
"BMF"   ,"Cycling BMX Freestyle"       ,"discipline" ,"CYC"    ,"active"       ,"summer"
"BMX"   ,"Cycling BMX Racing"          ,"discipline" ,"CYC"    ,"active"       ,"summer"
"MTB"   ,"Cycling Mountain Bike"       ,"discipline" ,"CYC"    ,"active"       ,"summer"
"CRD"   ,"Cycling Road"                ,"discipline" ,"CYC"    ,"active"       ,"summer"
"CTR"   ,"Cycling Track"               ,"discipline" ,"CYC"    ,"active"       ,"summer"
"DAN"   ,"Dance Sport"                 ,"sport"      ,""       ,"active"       ,"summer"
"BKG"   ,"Breaking"                    ,"discipline" ,"DAN"    ,"active"       ,"summer"
"EQU"   ,"Equestrian"                  ,"sport"      ,""       ,"active"       ,"summer"
"EQU"   ,"Equestrian"                  ,"discipline" ,"EQU"    ,"active"       ,"summer"
