game,sport,code,"event",gold,silver,bronze
beijing-2022,alpine-skiing,ALP,"Men's Alpine Combined",AUT,NOR,CAN
beijing-2022,alpine-skiing,ALP,"Men's Downhill",SUI,FRA,AUT
beijing-2022,alpine-skiing,ALP,"Men's Giant Slalom",SUI,SLO,FRA
beijing-2022,alpine-skiing,ALP,"Men's Slalom",FRA,AUT,NOR
beijing-2022,alpine-skiing,ALP,"Men's Super-G",AUT,USA,NOR
beijing-2022,alpine-skiing,ALP,"Mixed Team Parallel",AUT,GER,NOR
beijing-2022,alpine-skiing,ALP,"Women's Alpine Combined",SUI,SUI,ITA
beijing-2022,alpine-skiing,ALP,"Women's Downhill",SUI,ITA,ITA
beijing-2022,alpine-skiing,ALP,"Women's Giant Slalom",SWE,ITA,SUI
beijing-2022,alpine-skiing,ALP,"Women's Slalom",SVK,AUT,SUI
beijing-2022,alpine-skiing,ALP,"Women's Super-G",SUI,AUT,SUI
beijing-2022,biathlon,BTH,"Men's 10km Sprint",NOR,FRA,NOR
beijing-2022,biathlon,BTH,"Men's 12.5km Pursuit",FRA,NOR,ROC
beijing-2022,biathlon,BTH,"Men's 15km Mass Start",NOR,SWE,NOR
beijing-2022,biathlon,BTH,"Men's 20km Individual",FRA,BLR,NOR
beijing-2022,biathlon,BTH,"Men's 4x7.5km Relay",NOR,FRA,ROC
beijing-2022,biathlon,BTH,"Mixed Relay 4x6km (W+M)",NOR,FRA,ROC
beijing-2022,biathlon,BTH,"Women's 10km Pursuit",NOR,SWE,NOR
beijing-2022,biathlon,BTH,"Women's 12.5km Mass Start",FRA,NOR,NOR
beijing-2022,biathlon,BTH,"Women's 15km Individual",GER,FRA,NOR
beijing-2022,biathlon,BTH,"Women's 4x6km Relay",SWE,ROC,GER
beijing-2022,biathlon,BTH,"Women's 7.5km Sprint",NOR,SWE,ITA
beijing-2022,bobsleigh,BOB,"2-man",GER,GER,GER
beijing-2022,bobsleigh,BOB,"2-woman",GER,GER,USA
beijing-2022,bobsleigh,BOB,"4-man",GER,GER,CAN
beijing-2022,bobsleigh,BOB,"Women's Monobob",USA,USA,CAN
beijing-2022,cross-country-skiing,CCS,"Men's 15km + 15km Skiathlon",ROC,ROC,FIN
